id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1324079082,20141117T000000,295000.0,4.0,2.0,1810.0,42981.0,1.0,0,0,4.0,7.0,1810,0,1973.0,0,98024.0,47.5597,-121.85,1980.0,113691.0
8807810890,20141105T000000,385000.0,3.0,1.0,1250.0,21303.0,1.0,0,0,3.0,6.0,1250,0,1970.0,0,98053.0,47.6625,-122.059,1250.0,17920.0
3278611450,20150326T000000,496800.0,4.0,2.25,1850.0,2340.0,,0,0,3.0,8.0,1850,0,2014.0,0,98126.0,47.543,-122.372,1850.0,2340.0
9478550430,20150429T000000,316475.0,4.0,2.5,1740.0,4642.0,2.0,0,0,3.0,7.0,1740,0,2012.0,0,98042.0,47.3686,-122.117,1950.0,4642.0
123039176,20141212T000000,399888.0,4.0,7.5,2370.0,30200.0,1.5,0,0,4.0,7.0,1570,800,1948.0,0,98146.0,47.5108,-122.366,1640.0,9719.0
6126601445,20140530T000000,490000.0,3.0,1.75,,5405.0,1.0,0,2,4.0,7.0,960,960,1947.0,0,98126.0,47.5583,-122.38,1190.0,5405.0
5016002180,20140708T000000,780000.0,2.0,2.5,2560.0,2500.0,2.0,0,0,5.0,8.0,1690,870,1901.0,0,98112.0,47.6233,-122.3,1890.0,5000.0
3307700405,20140723T000000,587100.0,2.0,1.0,1190.0,,1.0,0,0,3.0,7.0,1190,0,1946.0,0,98040.0,47.5896,-122.243,1700.0,6968.0
3782760040,20140603T000000,402500.0,3.0,3.25,2780.0,4002.0,2.0,0,0,3.0,8.0,2780,0,1890.0,0,98019.0,47.7348,-121.966,1890.0,4090.0
7436500060,20141020T000000,562000.0,4.0,2.25,2170.0,-1.0,1.0,0,0,3.0,8.0,1540,630,1974.0,0,98033.0,47.672,-122.169,2040.0,7700.0
3630180340,20141104T000000,825000.0,4.0,2.5,3370.0,5000.0,2.0,0,0,3.0,9.0,3370,0,2006.0,0,98027.0,47.541,-121.998,3370.0,5237.0
3814900260,20150305T000000,402395.0,4.0,2.5,2669.0,5385.0,2.0,0,0,3.0,9.0,2669,0,2014.0,0,98092.0,47.3262,-122.165,2669.0,4645.0
11520640,20140801T000000,810000.0,4.0,2.75,3010.0,10450.0,,0,0,3.0,9.0,3010,0,1996.0,0,98052.0,47.6979,-122.112,3010.0,10530.0
6197200021,20141106T000000,144000.0,,1.0,980.0,6800.0,1.0,0,0,3.0,6.0,980,0,1946.0,0,98058.0,47.4411,-122.186,1140.0,9975.0
5422570760,20141014T000000,445000.0,3.0,1.75,1850.0,7056.0,2.5,0,0,4.0,8.0,1850,0,1979.0,0,98052.0,47.6602,-122.13,1970.0,7056.0
304000380,20141006T000000,197000.0,3.0,1.0,1090.0,17630.0,1.0,0,0,4.0,7.0,1090,0,1962.0,0,98002.0,47.288,-122.196,,12000.0
7925100271,20140520T000000,430000.0,3.0,1.75,1200.0,4500.0,1.0,0,0,5.0,7.0,1200,0,1906.0,0,98108.0,47.5553,-122.316,1340.0,4500.0
807800190,20150204T000000,245000.0,3.0,1.75,2350.0,12720.0,1.0,0,0,4.0,7.0,1180,1170,1964.0,0,98030.0,47.3594,-122.175,1680.0,10400.0
5318100840,20140606T000000,1280000.0,4.0,3.5,3010.0,3600.0,2.0,0,0,3.0,9.0,2370,640,1999.0,0,98112.0,47.6341,-122.284,2650.0,4200.0
1421069117,20150417T000000,240000.0,3.0,1.5,1460.0,13503.0,1.0,0,0,4.0,6.0,1460,0,1977.0,0,98010.0,47.3119,-122.015,1460.0,13394.0
2141300420,20140626T000000,775000.0,3.0,2.75,2850.0,14800.0,1.0,0,0,4.0,9.0,1920,930,1976.0,0,98006.0,47.559,-122.146,3300.0,10809.0
5312100040,20150423T000000,400000.0,2.0,1.0,1010.0,3916.0,1.0,0,2,4.0,6.0,810,200,1918.0,0,98144.0,47.5728,-122.306,1580.0,3888.0
1657530350,20140519T000000,280000.0,3.0,2.5,1720.0,1916.0,2.0,0,0,3.0,7.0,1720,0,2005.0,0,98059.0,47.4895,-122.166,1760.0,1916.0
3313600077,20140919T000000,185000.0,3.0,1.0,1320.0,7155.0,1.0,0,0,4.0,6.0,1320,0,1961.0,0,98002.0,47.2857,-122.22,1070.0,8100.0
3856900507,20140512T000000,1315000.0,,3.5,3460.0,3997.0,2.0,0,0,3.0,10.0,2560,900,2004.0,0,98103.0,47.6718,-122.329,1860.0,4000.0
40000228,20141015T000000,221900.0,2.0,1.0,780.0,6727.0,1.0,0,0,3.0,6.0,780,0,1939.0,0,98168.0,47.4733,-122.281,1860.0,10124.0
8961950250,20140915T000000,384000.0,5.0,2.75,3220.0,8160.0,2.0,0,0,3.0,9.0,3220,0,1999.0,0,98001.0,47.3154,-122.254,2876.0,11521.0
7159200005,20140507T000000,3200000.0,7.0,4.5,6210.0,8856.0,2.5,0,2,5.0,11.0,4760,1450,1910.0,0,98109.0,47.6307,-122.354,2940.0,5400.0
9324800450,20141009T000000,560000.0,3.0,1.5,2790.0,6900.0,1.0,0,2,3.0,8.0,1700,1090,1955.0,0,98125.0,47.7328,-122.288,2410.0,8100.0
2095500120,20140718T000000,350000.0,4.0,2.5,2380.0,6124.0,2.0,0,0,3.0,8.0,2380,0,1997.0,0,98030.0,47.3662,-122.175,2170.0,6097.0
9117000230,20150409T000000,287000.0,3.0,1.75,1940.0,9000.0,1.0,0,0,3.0,7.0,1290,650,1965.0,0,98055.0,47.4361,-122.189,1900.0,9120.0
9510970090,20141121T000000,637250.0,4.0,2.5,2120.0,3220.0,2.0,0,0,3.0,9.0,2120,0,2005.0,0,98052.0,47.6662,-122.083,2120.0,3547.0
8635750980,20140714T000000,570000.0,4.0,2.5,2640.0,4200.0,2.0,0,0,3.0,8.0,2640,0,1998.0,0,98074.0,47.6038,-122.02,2460.0,4200.0
5701500030,20140601T000000,1505000.0,4.0,3.5,3480.0,7232.0,2.0,0,0,3.0,9.0,2580,900,1926.0,2010,98144.0,47.5859,-122.291,2380.0,5642.0
8849300320,20150416T000000,265000.0,3.0,1.75,1330.0,12618.0,1.0,0,3,3.0,7.0,1330,0,1983.0,0,98188.0,47.4403,-122.271,1870.0,8429.0
87000245,20140930T000000,170000.0,3.0,0.75,1040.0,42180.0,1.0,0,0,2.0,6.0,1040,0,1947.0,0,98055.0,47.4518,-122.199,1270.0,24090.0
226059065,20140903T000000,514000.0,3.0,2.25,2260.0,,1.0,0,0,3.0,7.0,1450,810,1962.0,0,98072.0,47.7657,-122.131,2140.0,44431.0
7524950830,20140527T000000,585000.0,3.0,1.75,1850.0,7735.0,,0,0,4.0,8.0,1850,0,1983.0,0,98027.0,47.5608,-122.082,2220.0,7639.0
6661200050,20140528T000000,175000.0,2.0,1.0,830.0,2699.0,1.0,0,0,3.0,7.0,830,0,1996.0,0,98038.0,47.3839,-122.038,1030.0,3574.0
2025700740,20140702T000000,275250.0,3.0,2.25,1520.0,7199.0,2.0,0,0,4.0,7.0,1520,0,1992.0,0,98038.0,47.3492,-122.034,1410.0,6751.0
2721049059,20140528T000000,225000.0,3.0,2.0,2030.0,24829.0,1.0,0,0,4.0,7.0,1220,810,1979.0,0,98001.0,47.2718,-122.291,1980.0,15204.0
808300090,20150116T000000,435000.0,4.0,2.5,0.0,9065.0,,0,0,3.0,7.0,2650,0,2000.0,0,98019.0,47.7258,-121.959,2590.0,13218.0
1854900330,20140909T000000,697000.0,4.0,2.5,3160.0,6961.0,2.0,0,0,3.0,8.0,3160,0,2005.0,0,98074.0,47.6125,-122.01,3110.0,5058.0
4331400190,20141112T000000,259950.0,3.0,1.5,1240.0,9500.0,1.0,0,0,4.0,7.0,1240,0,1955.0,0,98166.0,47.4756,-122.35,1845.0,10125.0
8857100180,20150413T000000,350000.0,3.0,2.25,1410.0,1340.0,2.0,0,0,3.0,8.0,1370,40,1967.0,0,98008.0,47.6108,-122.113,1730.0,2748.0
